order_id,order_date,customer_id,gender,age_group,region,category,product,quantity,unit_price,discount,revenue,channel,status
ORD00001,2023-06-22,CUST0623,Female,35-44,South,Clothing,Jacket,1,88.73,0.0,88.73,Direct,Completed
ORD00002,2023-11-09,CUST1120,Other,18-24,East,Clothing,Jacket,5,175.27,0.1,788.72,Paid Ad,Completed
ORD00003,2023-09-02,CUST0020,Other,18-24,Central,Electronics,Phone Case,2,23.01,0.05,43.72,Social Media,Completed
ORD00004,2023-08-07,CUST1086,Female,25-34,North,Books,Novel,2,47.9,0.0,95.8,Paid Ad,Returned
ORD00005,2023-04-22,CUST0090,Male,45-54,North,Clothing,T-Shirt,1,175.39,0.0,175.39,Paid Ad,Cancelled
ORD00006,2023-04-22,CUST1036,Female,45-54,West,Clothing,Hoodie,2,89.02,0.05,169.14,Paid Ad,Returned
ORD00007,2023-03-09,CUST0598,Male,35-44,Central,Electronics,USB Hub,2,35.86,0.0,71.72,Social Media,Completed
ORD00008,2023-10-07,CUST0557,Female,18-24,East,Beauty,Sunscreen,2,65.16,0.0,130.32,Paid Ad,Completed
ORD00009,2023-08-07,CUST0337,Female,35-44,South,Beauty,Lip Balm,2,71.73,0.0,143.46,Email,Returned
ORD00010,2023-08-28,CUST0632,Male,35-44,East,Clothing,T-Shirt,5,102.04,0.0,510.2,Email,Completed
ORD00011,2023-02-10,CUST0083,Female,18-24,East,Books,Python Programming,2,15.41,0.1,27.74,Paid Ad,Completed
ORD00012,2023-11-21,CUST0613,Male,45-54,South,Electronics,Smart Watch,1,339.41,0.0,339.41,Social Media,Completed
ORD00013,2023-09-27,CUST0194,Other,55+,North,Electronics,Phone Case,2,301.29,0.05,572.45,Email,Completed
ORD00014,2023-05-10,CUST0456,Other,55+,North,Books,Data Science Handbook,1,13.71,0.1,12.34,Paid Ad,Completed
ORD00015,2023-05-01,CUST0531,Other,35-44,South,Books,Self-Help Guide,4,40.26,0.0,161.04,Organic Search,Completed
ORD00016,2023-05-01,CUST0680,Other,45-54,East,Beauty,Lip Balm,1,81.91,0.0,81.91,Organic Search,Completed
ORD00017,2023-06-05,CUST0809,Male,55+,North,Beauty,Face Serum,2,20.94,0.1,37.69,Email,Completed
ORD00018,2023-07-24,CUST0574,Other,18-24,West,Clothing,Sneakers,1,41.03,0.0,41.03,Email,Completed
ORD00019,2023-07-05,CUST1128,Male,18-24,Central,Electronics,USB Hub,2,221.69,0.0,443.38,Email,Completed
ORD00020,2023-06-02,CUST1077,Female,55+,West,Electronics,Phone Case,1,60.97,0.15,51.82,Paid Ad,Cancelled
ORD00021,2023-08-09,CUST0993,Female,55+,South,Books,Novel,1,44.75,0.05,42.51,Social Media,Cancelled
ORD00022,2023-04-16,CUST0061,Male,45-54,South,Clothing,Sneakers,1,57.43,0.05,54.56,Social Media,Completed
ORD00023,2023-06-02,CUST0327,Male,35-44,Central,Books,Novel,3,32.88,0.2,78.91,Organic Search,Completed
ORD00024,2023-06-20,CUST0450,Male,18-24,Central,Home & Kitchen,Blender,3,122.07,0.1,329.59,Direct,Returned
ORD00025,2023-07-10,CUST0735,Male,45-54,North,Clothing,Jeans,2,41.58,0.1,74.84,Direct,Completed
ORD00026,2023-09-15,CUST0386,Male,35-44,South,Home & Kitchen,Blender,2,208.99,0.05,397.08,Email,Cancelled
ORD00027,2023-05-06,CUST0041,Other,25-34,East,Clothing,Sneakers,1,18.38,0.05,17.46,Direct,Returned
ORD00028,2023-07-22,CUST0663,Male,45-54,Central,Electronics,USB Hub,1,82.49,0.1,74.24,Organic Search,Completed
ORD00029,2023-08-06,CUST0149,Male,55+,South,Electronics,Smart Watch,3,274.41,0.15,699.75,Social Media,Returned
ORD00030,2023-03-02,CUST0895,Female,18-24,North,Home & Kitchen,Blender,1,73.37,0.0,73.37,Email,Completed
ORD00031,2023-08-08,CUST0458,Other,35-44,North,Electronics,USB Hub,4,247.34,0.1,890.42,Direct,Completed
ORD00032,2023-04-27,CUST1174,Other,45-54,North,Clothing,Hoodie,2,33.39,0.15,56.76,Email,Cancelled
ORD00033,2023-03-13,CUST1159,Male,35-44,Central,Electronics,USB Hub,3,121.6,0.05,346.56,Organic Search,Returned
ORD00034,2023-11-08,CUST0182,Female,55+,South,Electronics,Wireless Earbuds,5,94.73,0.0,473.65,Social Media,Returned
ORD00035,2023-11-18,CUST0222,Other,45-54,North,Electronics,Smart Watch,1,98.6,0.0,98.6,Organic Search,Completed
ORD00036,2023-09-21,CUST0776,Other,35-44,South,Clothing,Sneakers,4,174.81,0.0,699.24,Social Media,Cancelled
ORD00037,2023-06-05,CUST0462,Female,18-24,East,Clothing,Sneakers,2,144.51,0.1,260.12,Paid Ad,Returned
ORD00038,2023-03-30,CUST0152,Other,25-34,Central,Electronics,Wireless Earbuds,1,113.79,0.2,91.03,Social Media,Completed
ORD00039,2023-08-23,CUST0191,Male,18-24,South,Books,Data Science Handbook,2,42.4,0.15,72.08,Social Media,Cancelled
ORD00040,2023-07-07,CUST0890,Other,25-34,East,Beauty,Sunscreen,1,65.47,0.05,62.2,Paid Ad,Completed
ORD00041,2023-04-09,CUST1107,Other,25-34,Central,Electronics,Smart Watch,1,341.42,0.05,324.35,Social Media,Completed
ORD00042,2023-07-18,CUST0315,Other,35-44,West,Electronics,Wireless Earbuds,2,31.63,0.1,56.93,Organic Search,Completed
ORD00043,2023-02-22,CUST0409,Other,25-34,West,Electronics,Wireless Earbuds,2,113.67,0.05,215.97,Organic Search,Completed
ORD00044,2023-10-22,CUST0815,Male,45-54,West,Electronics,Bluetooth Speaker,1,342.31,0.0,342.31,Email,Returned
ORD00045,2023-05-24,CUST0782,Female,45-54,East,Books,Self-Help Guide,2,12.28,0.0,24.56,Social Media,Completed
ORD00046,2023-08-19,CUST1156,Female,45-54,Central,Clothing,Hoodie,1,85.88,0.1,77.29,Organic Search,Completed
ORD00047,2023-06-07,CUST0466,Other,55+,Central,Books,Python Programming,1,12.03,0.05,11.43,Direct,Completed
ORD00048,2023-07-23,CUST0973,Male,25-34,South,Books,Cook Book,2,27.68,0.15,47.06,Direct,Completed
ORD00049,2023-07-28,CUST1170,Female,25-34,South,Clothing,T-Shirt,3,78.33,0.0,234.99,Direct,Cancelled
ORD00050,2023-05-02,CUST0343,Male,25-34,North,Home & Kitchen,Scented Candle,4,40.96,0.0,163.84,Paid Ad,Completed
ORD00051,2023-11-20,CUST0303,Male,55+,Central,Electronics,Phone Case,2,41.25,0.0,82.5,Direct,Completed
ORD00052,2023-09-12,CUST0566,Female,18-24,East,Clothing,T-Shirt,2,26.62,0.05,50.58,Direct,Returned
ORD00053,2023-11-04,CUST0860,Other,55+,East,Beauty,Face Serum,2,72.28,0.05,137.33,Organic Search,Returned
ORD00054,2023-10-17,CUST0217,Male,18-24,West,Electronics,USB Hub,3,211.96,0.15,540.5,Direct,Completed
ORD00055,2023-08-07,CUST0995,Female,55+,East,Books,Cook Book,4,49.37,0.0,197.48,Direct,Cancelled
ORD00056,2023-10-27,CUST0823,Male,45-54,North,Clothing,Jeans,1,58.27,0.05,55.36,Organic Search,Returned
ORD00057,2023-03-25,CUST0551,Female,25-34,West,Books,Self-Help Guide,1,40.45,0.0,40.45,Social Media,Completed
ORD00058,2023-05-05,CUST0202,Male,18-24,North,Clothing,Hoodie,3,64.24,0.15,163.81,Paid Ad,Completed
ORD00059,2023-03-01,CUST0183,Male,45-54,East,Clothing,Sneakers,1,142.04,0.1,127.84,Paid Ad,Returned
ORD00060,2023-06-10,CUST0116,Male,18-24,North,Electronics,Phone Case,3,263.22,0.15,671.21,Direct,Completed
ORD00061,2023-06-25,CUST1165,Male,25-34,East,Electronics,USB Hub,3,150.13,0.05,427.87,Organic Search,Completed
ORD00062,2023-05-27,CUST0739,Female,18-24,South,Electronics,Smart Watch,1,295.39,0.0,295.39,Paid Ad,Completed
ORD00063,2023-09-26,CUST0063,Other,45-54,West,Clothing,Sneakers,2,96.86,0.0,193.72,Paid Ad,Completed
ORD00064,2023-06-18,CUST0717,Male,45-54,West,Clothing,Sneakers,4,41.83,0.05,158.95,Social Media,Completed
ORD00065,2023-05-30,CUST0792,Male,35-44,South,Books,Self-Help Guide,2,43.2,0.0,86.4,Organic Search,Completed
ORD00066,2023-07-27,CUST0552,Other,45-54,South,Books,Data Science Handbook,2,48.28,0.05,91.73,Email,Cancelled
ORD00067,2023-04-16,CUST0018,Other,35-44,Central,Electronics,Wireless Earbuds,1,173.82,0.0,173.82,Paid Ad,Completed
ORD00068,2023-09-19,CUST0772,Other,55+,North,Home & Kitchen,Blender,2,159.68,0.0,319.36,Social Media,Returned
ORD00069,2023-03-18,CUST1198,Other,45-54,West,Electronics,Phone Case,2,116.22,0.05,220.82,Organic Search,Completed
ORD00070,2023-12-04,CUST0222,Other,45-54,North,Clothing,Hoodie,2,106.32,0.0,212.64,Email,Completed
ORD00071,2023-09-12,CUST0612,Male,25-34,West,Clothing,Hoodie,3,119.62,0.0,358.86,Paid Ad,Completed
ORD00072,2023-05-06,CUST0828,Female,45-54,Central,Clothing,Jeans,3,163.15,0.1,440.51,Social Media,Completed
ORD00073,2023-01-21,CUST0796,Female,35-44,Central,Home & Kitchen,Bed Sheets,1,219.47,0.0,219.47,Organic Search,Cancelled
ORD00074,2023-09-23,CUST1095,Female,45-54,West,Home & Kitchen,Scented Candle,1,181.36,0.1,163.22,Email,Completed
ORD00075,2023-08-28,CUST0200,Female,45-54,North,Clothing,Jeans,4,153.23,0.0,612.92,Email,Completed
ORD00076,2023-09-02,CUST0688,Other,25-34,East,Home & Kitchen,Scented Candle,1,170.21,0.05,161.7,Organic Search,Completed
ORD00077,2023-09-11,CUST1200,Other,35-44,South,Clothing,Hoodie,4,82.64,0.0,330.56,Social Media,Returned
ORD00078,2023-03-18,CUST0146,Female,18-24,Central,Books,Novel,2,10.52,0.05,19.99,Email,Completed
ORD00079,2023-06-18,CUST0309,Female,45-54,East,Clothing,Sneakers,1,101.01,0.15,85.86,Paid Ad,Completed
ORD00080,2023-04-06,CUST0370,Male,35-44,South,Clothing,Jacket,5,162.0,0.0,810.0,Organic Search,Returned
ORD00081,2023-10-06,CUST0429,Other,35-44,North,Clothing,Jeans,1,64.65,0.0,64.65,Paid Ad,Cancelled
ORD00082,2023-08-11,CUST0889,Female,45-54,West,Books,Novel,3,44.9,0.0,134.7,Email,Returned
ORD00083,2023-06-12,CUST0765,Male,45-54,East,Clothing,Sneakers,1,76.4,0.0,76.4,Organic Search,Completed
ORD00084,2023-03-13,CUST0510,Male,55+,South,Books,Cook Book,2,16.96,0.05,32.22,Paid Ad,Completed
ORD00085,2023-06-07,CUST0094,Other,25-34,South,Clothing,T-Shirt,2,76.44,0.0,152.88,Social Media,Completed
ORD00086,2023-06-10,CUST0275,Female,18-24,South,Clothing,Jacket,1,112.19,0.15,95.36,Social Media,Returned
ORD00087,2023-09-02,CUST0040,Other,35-44,East,Clothing,Jeans,4,39.7,0.1,142.92,Paid Ad,Completed
ORD00088,2023-08-14,CUST0253,Female,25-34,North,Home & Kitchen,Coffee Maker,1,54.35,0.05,51.63,Social Media,Completed
ORD00089,2023-10-14,CUST0099,Female,18-24,East,Clothing,Hoodie,2,141.57,0.05,268.98,Organic Search,Completed
ORD00090,2023-07-13,CUST0972,Other,35-44,North,Electronics,Wireless Earbuds,1,154.62,0.05,146.89,Paid Ad,Completed
ORD00091,2023-04-08,CUST0553,Other,25-34,West,Home & Kitchen,Air Fryer,2,73.23,0.05,139.14,Direct,Cancelled
ORD00092,2023-08-29,CUST0242,Female,45-54,South,Home & Kitchen,Bed Sheets,1,184.44,0.1,166.0,Social Media,Completed
ORD00093,2023-09-09,CUST1072,Other,25-34,East,Books,Novel,1,17.34,0.0,17.34,Paid Ad,Completed
ORD00094,2023-07-31,CUST0985,Female,45-54,South,Home & Kitchen,Blender,2,43.68,0.15,74.26,Social Media,Completed
ORD00095,2023-09-11,CUST0306,Female,45-54,Central,Electronics,Wireless Earbuds,3,318.8,0.05,908.58,Organic Search,Cancelled
ORD00096,2023-07-18,CUST0607,Female,35-44,North,Electronics,Wireless Earbuds,2,318.1,0.0,636.2,Social Media,Returned
ORD00097,2023-07-23,CUST0641,Male,35-44,Central,Electronics,Smart Watch,3,307.84,0.0,923.52,Email,Completed
ORD00098,2023-07-04,CUST0674,Other,55+,West,Electronics,Wireless Earbuds,1,18.24,0.05,17.33,Social Media,Returned
ORD00099,2023-02-14,CUST0375,Male,45-54,West,Beauty,Hair Mask,1,79.91,0.1,71.92,Organic Search,Returned
ORD00100,2023-04-03,CUST0864,Other,18-24,East,Clothing,Sneakers,1,57.67,0.15,49.02,Paid Ad,Completed
ORD00101,2023-02-19,CUST0989,Male,25-34,West,Electronics,Wireless Earbuds,3,343.83,0.0,1031.49,Direct,Returned
ORD00102,2023-08-14,CUST0268,Male,25-34,East,Electronics,Phone Case,2,276.02,0.15,469.23,Email,Returned
ORD00103,2023-06-08,CUST0026,Other,25-34,Central,Electronics,Phone Case,1,162.63,0.05,154.5,Direct,Cancelled
ORD00104,2023-07-21,CUST1072,Other,25-34,East,Home & Kitchen,Coffee Maker,2,215.36,0.0,430.72,Direct,Completed
ORD00105,2023-10-22,CUST0305,Female,45-54,West,Clothing,Jeans,2,92.96,0.05,176.62,Direct,Cancelled
ORD00106,2023-05-21,CUST0339,Male,55+,Central,Electronics,Smart Watch,1,184.37,0.0,184.37,Organic Search,Returned
